Planning Area,Subzone,Age,Sex,Population
Downtown Core,Bugis,51.0,Females,10.0
Downtown Core,Bugis,52.0,Total,20.0
Downtown Core,Bugis,52.0,Males,10.0
Downtown Core,Bugis,52.0,Females,10.0
Downtown Core,Bugis,53.0,Total,20.0
Downtown Core,Bugis,53.0,Males,10.0
Downtown Core,Bugis,53.0,Females,10.0
Downtown Core,Bugis,54.0,Total,20.0
Downtown Core,Bugis,54.0,Males,10.0
Downtown Core,Bugis,54.0,Females,10.0
Downtown Core,Bugis,55.0,Total,20.0
Downtown Core,Bugis,55.0,Males,10.0
Downtown Core,Bugis,55.0,Females,10.0
Downtown Core,Bugis,56.0,Total,20.0
Downtown Core,Bugis,56.0,Males,10.0
Downtown Core,Bugis,56.0,Females,10.0
Downtown Core,Bugis,57.0,Total,20.0
Downtown Core,Bugis,57.0,Males,10.0
Downtown Core,Bugis,57.0,Females,10.0
Downtown Core,Bugis,58.0,Total,20.0
Downtown Core,Bugis,58.0,Males,10.0
Downtown Core,Bugis,58.0,Females,10.0
Downtown Core,Bugis,59.0,Total,20.0
Downtown Core,Bugis,59.0,Males,10.0
Downtown Core,Bugis,59.0,Females,10.0
Downtown Core,Bugis,60.0,Total,10.0
Downtown Core,Bugis,60.0,Males,10.0
Downtown Core,Bugis,60.0,Females,10.0
Downtown Core,Bugis,61.0,Total,10.0
Downtown Core,Bugis,61.0,Males,10.0
Downtown Core,Bugis,61.0,Females,10.0
Downtown Core,Bugis,62.0,Total,10.0
Downtown Core,Bugis,62.0,Females,10.0
Downtown Core,Bugis,63.0,Total,10.0
Downtown Core,Bugis,63.0,Males,10.0
Downtown Core,Bugis,63.0,Females,10.0
Downtown Core,Bugis,64.0,Total,10.0
Downtown Core,Bugis,64.0,Males,10.0
Downtown Core,Bugis,65.0,Total,10.0
Downtown Core,Bugis,65.0,Males,10.0
Downtown Core,Bugis,65.0,Females,10.0
Downtown Core,Bugis,66.0,Total,10.0
Downtown Core,Bugis,66.0,Females,10.0
Downtown Core,Bugis,67.0,Total,10.0
Downtown Core,Bugis,67.0,Males,10.0
Downtown Core,Bugis,67.0,Females,10.0
Downtown Core,Bugis,68.0,Total,10.0
Downtown Core,Bugis,68.0,Males,10.0
Downtown Core,Bugis,69.0,Total,10.0
Downtown Core,Bugis,69.0,Males,10.0
Downtown Core,Bugis,69.0,Females,10.0
Downtown Core,Bugis,70.0,Total,10.0
Downtown Core,Bugis,70.0,Males,10.0
Downtown Core,Bugis,71.0,Total,20.0
Downtown Core,Bugis,71.0,Males,10.0
Downtown Core,Bugis,71.0,Females,10.0
Downtown Core,Bugis,72.0,Total,20.0
Downtown Core,Bugis,72.0,Males,10.0
Downtown Core,Bugis,72.0,Females,10.0
Downtown Core,Bugis,73.0,Total,10.0
Downtown Core,Bugis,73.0,Males,10.0
Downtown Core,Bugis,73.0,Females,10.0
Downtown Core,Bugis,74.0,Total,10.0
Downtown Core,Bugis,74.0,Males,10.0
Downtown Core,Bugis,74.0,Females,10.0
Downtown Core,Bugis,75.0,Total,10.0
Downtown Core,Bugis,75.0,Females,10.0
Downtown Core,Bugis,76.0,Total,10.0
Downtown Core,Bugis,76.0,Males,10.0
Downtown Core,Bugis,76.0,Females,10.0
Downtown Core,Bugis,77.0,Total,20.0
Downtown Core,Bugis,77.0,Males,10.0
Downtown Core,Bugis,77.0,Females,10.0
Downtown Core,Bugis,79.0,Total,10.0
Downtown Core,Bugis,82.0,Total,10.0
Downtown Core,Bugis,84.0,Total,10.0
Downtown Core,Bugis,85.0,Total,10.0
Downtown Core,Bugis,86.0,Total,10.0
Downtown Core,Bugis,86.0,Females,10.0
Downtown Core,Bugis,87.0,Total,10.0
Downtown Core,Bugis,88.0,Total,10.0
Downtown Core,Cecil,1.0,Total,10.0
Downtown Core,Cecil,1.0,Males,10.0
Downtown Core,Cecil,2.0,Total,10.0
Downtown Core,Cecil,4.0,Total,10.0
Downtown Core,Cecil,9.0,Total,10.0
Downtown Core,Cecil,13.0,Total,10.0
Downtown Core,Cecil,14.0,Total,10.0
Downtown Core,Cecil,25.0,Total,10.0
Downtown Core,Cecil,25.0,Females,10.0
Downtown Core,Cecil,26.0,Total,10.0
Downtown Core,Cecil,26.0,Females,10.0
Downtown Core,Cecil,27.0,Total,10.0
Downtown Core,Cecil,28.0,Total,10.0
Downtown Core,Cecil,29.0,Total,10.0
Downtown Core,Cecil,29.0,Females,10.0
Downtown Core,Cecil,30.0,Total,20.0
Downtown Core,Cecil,30.0,Males,10.0
Downtown Core,Cecil,30.0,Females,10.0
Downtown Core,Cecil,31.0,Total,20.0
Downtown Core,Cecil,31.0,Males,10.0
Downtown Core,Cecil,31.0,Females,10.0
Downtown Core,Cecil,32.0,Total,20.0
Downtown Core,Cecil,32.0,Males,10.0
Downtown Core,Cecil,32.0,Females,10.0
Downtown Core,Cecil,33.0,Total,20.0
Downtown Core,Cecil,33.0,Males,10.0
Downtown Core,Cecil,33.0,Females,10.0
Downtown Core,Cecil,34.0,Total,20.0
Downtown Core,Cecil,34.0,Males,10.0
Downtown Core,Cecil,34.0,Females,10.0
Downtown Core,Cecil,35.0,Total,20.0
Downtown Core,Cecil,35.0,Males,10.0
Downtown Core,Cecil,35.0,Females,10.0
Downtown Core,Cecil,36.0,Total,20.0
Downtown Core,Cecil,36.0,Males,10.0
Downtown Core,Cecil,36.0,Females,10.0
Downtown Core,Cecil,37.0,Total,20.0
Downtown Core,Cecil,37.0,Males,10.0
Downtown Core,Cecil,37.0,Females,10.0
Downtown Core,Cecil,38.0,Total,20.0
Downtown Core,Cecil,38.0,Males,10.0
Downtown Core,Cecil,38.0,Females,10.0
Downtown Core,Cecil,39.0,Total,20.0
Downtown Core,Cecil,39.0,Males,10.0
Downtown Core,Cecil,39.0,Females,10.0
Downtown Core,Cecil,40.0,Total,20.0
Downtown Core,Cecil,40.0,Males,10.0
Downtown Core,Cecil,40.0,Females,10.0
Downtown Core,Cecil,41.0,Total,10.0
Downtown Core,Cecil,41.0,Males,10.0
Downtown Core,Cecil,41.0,Females,10.0
Downtown Core,Cecil,42.0,Total,20.0
Downtown Core,Cecil,42.0,Females,10.0
Downtown Core,Cecil,43.0,Total,10.0
Downtown Core,Cecil,43.0,Males,10.0
Downtown Core,Cecil,44.0,Total,10.0
Downtown Core,Cecil,44.0,Females,10.0
Downtown Core,Cecil,45.0,Total,10.0
Downtown Core,Cecil,45.0,Females,10.0
Downtown Core,Cecil,46.0,Total,20.0
Downtown Core,Cecil,46.0,Males,10.0
Downtown Core,Cecil,46.0,Females,10.0
Downtown Core,Cecil,47.0,Total,10.0
Downtown Core,Cecil,47.0,Males,10.0
Downtown Core,Cecil,47.0,Females,10.0
Downtown Core,Cecil,48.0,Total,10.0
Downtown Core,Cecil,48.0,Males,10.0
Downtown Core,Cecil,48.0,Females,10.0
Downtown Core,Cecil,49.0,Total,10.0
Downtown Core,Cecil,51.0,Total,10.0
Downtown Core,Cecil,52.0,Total,10.0
Downtown Core,Cecil,53.0,Total,10.0
Downtown Core,Cecil,54.0,Total,10.0
Downtown Core,Cecil,54.0,Males,10.0
Downtown Core,Cecil,55.0,Total,10.0
Downtown Core,Cecil,55.0,Males,10.0
Downtown Core,Cecil,56.0,Total,10.0
Downtown Core,Cecil,57.0,Total,10.0
Downtown Core,Cecil,59.0,Total,10.0
Downtown Core,Cecil,59.0,Females,10.0
Downtown Core,Cecil,64.0,Total,10.0
Downtown Core,Cecil,64.0,Males,10.0
Downtown Core,Central Subzone,0.0,Total,10.0
Downtown Core,Central Subzone,0.0,Males,10.0
Downtown Core,Central Subzone,1.0,Total,10.0
Downtown Core,Central Subzone,1.0,Males,10.0
Downtown Core,Central Subzone,1.0,Females,10.0
Downtown Core,Central Subzone,2.0,Total,10.0
Downtown Core,Central Subzone,2.0,Males,10.0
Downtown Core,Central Subzone,3.0,Total,10.0
Downtown Core,Central Subzone,3.0,Males,10.0
Downtown Core,Central Subzone,3.0,Females,10.0
Downtown Core,Central Subzone,4.0,Total,10.0
Downtown Core,Central Subzone,4.0,Females,10.0
Downtown Core,Central Subzone,5.0,Total,10.0
Downtown Core,Central Subzone,5.0,Males,10.0
Downtown Core,Central Subzone,5.0,Females,10.0
Downtown Core,Central Subzone,6.0,Total,10.0
Downtown Core,Central Subzone,6.0,Females,10.0
Downtown Core,Central Subzone,7.0,Total,10.0
Downtown Core,Central Subzone,7.0,Females,10.0
Downtown Core,Central Subzone,8.0,Total,10.0
Downtown Core,Central Subzone,8.0,Males,10.0
Downtown Core,Central Subzone,8.0,Females,10.0
Downtown Core,Central Subzone,9.0,Total,10.0
Downtown Core,Central Subzone,9.0,Females,10.0
Downtown Core,Central Subzone,10.0,Total,10.0
Downtown Core,Central Subzone,10.0,Females,10.0
Downtown Core,Central Subzone,11.0,Total,10.0
Downtown Core,Central Subzone,11.0,Females,10.0
Downtown Core,Central Subzone,12.0,Total,10.0
Downtown Core,Central Subzone,12.0,Females,10.0
Downtown Core,Central Subzone,13.0,Total,10.0
Downtown Core,Central Subzone,14.0,Total,10.0
Downtown Core,Central Subzone,14.0,Males,10.0
Downtown Core,Central Subzone,14.0,Females,10.0
Downtown Core,Central Subzone,15.0,Total,10.0
Downtown Core,Central Subzone,16.0,Total,10.0
Downtown Core,Central Subzone,16.0,Males,10.0
Downtown Core,Central Subzone,16.0,Females,10.0
Downtown Core,Central Subzone,17.0,Total,10.0
Downtown Core,Central Subzone,17.0,Males,10.0
Downtown Core,Central Subzone,17.0,Females,10.0
Downtown Core,Central Subzone,18.0,Total,10.0
Downtown Core,Central Subzone,18.0,Females,10.0
Downtown Core,Central Subzone,19.0,Total,10.0
Downtown Core,Central Subzone,19.0,Females,10.0
Downtown Core,Central Subzone,20.0,Total,20.0
Downtown Core,Central Subzone,20.0,Males,10.0
Downtown Core,Central Subzone,20.0,Females,10.0
Downtown Core,Central Subzone,21.0,Total,20.0
Downtown Core,Central Subzone,21.0,Females,10.0
Downtown Core,Central Subzone,22.0,Total,10.0
Downtown Core,Central Subzone,22.0,Males,10.0
Downtown Core,Central Subzone,22.0,Females,10.0
Downtown Core,Central Subzone,23.0,Total,10.0
Downtown Core,Central Subzone,23.0,Males,10.0
Downtown Core,Central Subzone,24.0,Total,10.0
Downtown Core,Central Subzone,24.0,Males,10.0
Downtown Core,Central Subzone,25.0,Total,10.0
Downtown Core,Central Subzone,26.0,Total,10.0
Downtown Core,Central Subzone,26.0,Females,10.0
Downtown Core,Central Subzone,27.0,Total,20.0
Downtown Core,Central Subzone,27.0,Males,10.0
Downtown Core,Central Subzone,27.0,Females,10.0
Downtown Core,Central Subzone,28.0,Total,30.0
Downtown Core,Central Subzone,28.0,Males,10.0
Downtown Core,Central Subzone,28.0,Females,20.0
Downtown Core,Central Subzone,29.0,Total,20.0
Downtown Core,Central Subzone,29.0,Males,10.0
Downtown Core,Central Subzone,29.0,Females,10.0
Downtown Core,Central Subzone,30.0,Total,20.0
Downtown Core,Central Subzone,30.0,Males,10.0
Downtown Core,Central Subzone,30.0,Females,10.0
Downtown Core,Central Subzone,31.0,Total,40.0
Downtown Core,Central Subzone,31.0,Males,10.0
Downtown Core,Central Subzone,31.0,Females,20.0
Downtown Core,Central Subzone,32.0,Total,20.0
Downtown Core,Central Subzone,32.0,Males,10.0
Downtown Core,Central Subzone,32.0,Females,10.0
Downtown Core,Central Subzone,33.0,Total,40.0
Downtown Core,Central Subzone,33.0,Males,20.0
Downtown Core,Central Subzone,33.0,Females,30.0
Downtown Core,Central Subzone,34.0,Total,30.0
Downtown Core,Central Subzone,34.0,Males,10.0
Downtown Core,Central Subzone,34.0,Females,20.0
Downtown Core,Central Subzone,35.0,Total,50.0
Downtown Core,Central Subzone,35.0,Males,20.0
Downtown Core,Central Subzone,35.0,Females,30.0
Downtown Core,Central Subzone,36.0,Total,40.0
Downtown Core,Central Subzone,36.0,Males,20.0
Downtown Core,Central Subzone,36.0,Females,20.0
Downtown Core,Central Subzone,37.0,Total,30.0
Downtown Core,Central Subzone,37.0,Males,20.0
Downtown Core,Central Subzone,37.0,Females,10.0
Downtown Core,Central Subzone,38.0,Total,40.0
Downtown Core,Central Subzone,38.0,Males,20.0
Downtown Core,Central Subzone,38.0,Females,20.0
Downtown Core,Central Subzone,39.0,Total,30.0
Downtown Core,Central Subzone,39.0,Males,10.0
Downtown Core,Central Subzone,39.0,Females,20.0
Downtown Core,Central Subzone,40.0,Total,30.0
Downtown Core,Central Subzone,40.0,Males,10.0
Downtown Core,Central Subzone,40.0,Females,20.0
Downtown Core,Central Subzone,41.0,Total,40.0
Downtown Core,Central Subzone,41.0,Males,10.0
Downtown Core,Central Subzone,41.0,Females,20.0
Downtown Core,Central Subzone,42.0,Total,40.0
Downtown Core,Central Subzone,42.0,Males,20.0
Downtown Core,Central Subzone,42.0,Females,20.0
Downtown Core,Central Subzone,43.0,Total,30.0
Downtown Core,Central Subzone,43.0,Males,10.0
Downtown Core,Central Subzone,43.0,Females,20.0
Downtown Core,Central Subzone,44.0,Total,30.0
Downtown Core,Central Subzone,44.0,Males,10.0
Downtown Core,Central Subzone,44.0,Females,20.0
Downtown Core,Central Subzone,45.0,Total,30.0
Downtown Core,Central Subzone,45.0,Males,20.0
Downtown Core,Central Subzone,45.0,Females,10.0
Downtown Core,Central Subzone,46.0,Total,30.0
Downtown Core,Central Subzone,46.0,Males,10.0
Downtown Core,Central Subzone,46.0,Females,10.0
Downtown Core,Central Subzone,47.0,Total,30.0
Downtown Core,Central Subzone,47.0,Males,20.0
Downtown Core,Central Subzone,47.0,Females,10.0
Downtown Core,Central Subzone,48.0,Total,30.0
Downtown Core,Central Subzone,48.0,Males,20.0
Downtown Core,Central Subzone,48.0,Females,20.0
Downtown Core,Central Subzone,49.0,Total,40.0
Downtown Core,Central Subzone,49.0,Males,20.0
Downtown Core,Central Subzone,49.0,Females,20.0
Downtown Core,Central Subzone,50.0,Total,30.0
Downtown Core,Central Subzone,50.0,Males,20.0
Downtown Core,Central Subzone,50.0,Females,10.0
Downtown Core,Central Subzone,51.0,Total,30.0
Downtown Core,Central Subzone,51.0,Males,10.0
Downtown Core,Central Subzone,51.0,Females,20.0
Downtown Core,Central Subzone,52.0,Total,30.0
Downtown Core,Central Subzone,52.0,Males,20.0
Downtown Core,Central Subzone,52.0,Females,20.0
Downtown Core,Central Subzone,53.0,Total,40.0
Downtown Core,Central Subzone,53.0,Males,10.0
Downtown Core,Central Subzone,53.0,Females,20.0
Downtown Core,Central Subzone,54.0,Total,20.0
Downtown Core,Central Subzone,54.0,Males,20.0
Downtown Core,Central Subzone,54.0,Females,10.0
Downtown Core,Central Subzone,55.0,Total,20.0
Downtown Core,Central Subzone,55.0,Males,10.0
Downtown Core,Central Subzone,55.0,Females,10.0
Downtown Core,Central Subzone,56.0,Total,30.0
Downtown Core,Central Subzone,56.0,Males,10.0
Downtown Core,Central Subzone,56.0,Females,20.0
Downtown Core,Central Subzone,57.0,Total,20.0
Downtown Core,Central Subzone,57.0,Females,10.0
Downtown Core,Central Subzone,58.0,Total,10.0
Downtown Core,Central Subzone,58.0,Males,10.0
Downtown Core,Central Subzone,58.0,Females,10.0
Downtown Core,Central Subzone,59.0,Total,20.0
Downtown Core,Central Subzone,59.0,Males,10.0
Downtown Core,Central Subzone,59.0,Females,10.0
Downtown Core,Central Subzone,60.0,Total,20.0
Downtown Core,Central Subzone,60.0,Males,10.0
Downtown Core,Central Subzone,60.0,Females,10.0
Downtown Core,Central Subzone,61.0,Total,10.0
Downtown Core,Central Subzone,61.0,Males,10.0
Downtown Core,Central Subzone,62.0,Total,10.0
Downtown Core,Central Subzone,62.0,Males,10.0
Downtown Core,Central Subzone,63.0,Total,20.0
Downtown Core,Central Subzone,63.0,Males,10.0
Downtown Core,Central Subzone,63.0,Females,10.0
Downtown Core,Central Subzone,64.0,Total,20.0
Downtown Core,Central Subzone,64.0,Males,10.0
Downtown Core,Central Subzone,64.0,Females,10.0
Downtown Core,Central Subzone,65.0,Total,20.0
Downtown Core,Central Subzone,65.0,Males,10.0
Downtown Core,Central Subzone,65.0,Females,10.0
Downtown Core,Central Subzone,66.0,Total,10.0
Downtown Core,Central Subzone,66.0,Males,10.0
Downtown Core,Central Subzone,66.0,Females,10.0
Downtown Core,Central Subzone,67.0,Total,10.0
Downtown Core,Central Subzone,67.0,Males,10.0
Downtown Core,Central Subzone,69.0,Total,10.0
Downtown Core,Central Subzone,69.0,Females,10.0
Downtown Core,Central Subzone,70.0,Total,20.0
Downtown Core,Central Subzone,70.0,Males,10.0
Downtown Core,Central Subzone,70.0,Females,10.0
Downtown Core,Central Subzone,72.0,Total,10.0
Downtown Core,Central Subzone,75.0,Total,10.0
Downtown Core,City Hall,41.0,Total,10.0
Downtown Core,City Hall,41.0,Females,10.0
Downtown Core,City Hall,43.0,Total,10.0
Downtown Core,City Hall,43.0,Males,10.0
Downtown Core,City Hall,51.0,Total,10.0
Downtown Core,City Hall,51.0,Females,10.0
Downtown Core,City Hall,52.0,Total,10.0
Downtown Core,City Hall,53.0,Total,10.0
Downtown Core,City Hall,54.0,Total,10.0
Downtown Core,City Hall,54.0,Males,10.0
Downtown Core,City Hall,56.0,Total,10.0
Downtown Core,Nicoll,3.0,Total,10.0
Downtown Core,Nicoll,26.0,Total,10.0
Downtown Core,Nicoll,26.0,Females,10.0
Downtown Core,Nicoll,30.0,Total,10.0
Downtown Core,Nicoll,30.0,Males,10.0
Downtown Core,Nicoll,31.0,Total,10.0
Downtown Core,Nicoll,32.0,Total,10.0
Downtown Core,Nicoll,32.0,Males,10.0
Downtown Core,Nicoll,33.0,Total,10.0
Downtown Core,Nicoll,33.0,Females,10.0
Downtown Core,Nicoll,34.0,Total,10.0
Downtown Core,Nicoll,34.0,Males,10.0
Downtown Core,Nicoll,35.0,Total,10.0
Downtown Core,Nicoll,35.0,Males,10.0
Downtown Core,Nicoll,35.0,Females,10.0
Downtown Core,Nicoll,36.0,Total,10.0
Downtown Core,Nicoll,36.0,Males,10.0
Downtown Core,Nicoll,36.0,Females,10.0
Downtown Core,Nicoll,37.0,Total,10.0
Downtown Core,Nicoll,37.0,Females,10.0
Downtown Core,Nicoll,38.0,Total,10.0
Downtown Core,Nicoll,38.0,Males,10.0
Downtown Core,Nicoll,38.0,Females,10.0
Downtown Core,Nicoll,41.0,Total,10.0
Downtown Core,Nicoll,41.0,Males,10.0
Downtown Core,Nicoll,42.0,Total,10.0
Downtown Core,Nicoll,43.0,Total,10.0
Downtown Core,Nicoll,43.0,Males,10.0
Downtown Core,Nicoll,43.0,Females,10.0
Downtown Core,Nicoll,44.0,Total,10.0
Downtown Core,Nicoll,44.0,Males,10.0
Downtown Core,Nicoll,45.0,Total,10.0
Downtown Core,Nicoll,45.0,Females,10.0
Downtown Core,Nicoll,46.0,Total,10.0
Downtown Core,Nicoll,46.0,Females,10.0
Downtown Core,Nicoll,47.0,Total,10.0
Downtown Core,Nicoll,47.0,Females,10.0
Downtown Core,Nicoll,49.0,Total,10.0
Downtown Core,Nicoll,49.0,Females,10.0
Downtown Core,Nicoll,50.0,Total,10.0
Downtown Core,Nicoll,50.0,Males,10.0
Downtown Core,Nicoll,52.0,Total,10.0
Downtown Core,Nicoll,54.0,Total,10.0
Downtown Core,Nicoll,54.0,Males,10.0
Downtown Core,Nicoll,55.0,Total,10.0
Downtown Core,Nicoll,56.0,Total,10.0
Downtown Core,Nicoll,57.0,Total,10.0
Downtown Core,Nicoll,59.0,Total,10.0
Downtown Core,Nicoll,67.0,Total,10.0
Downtown Core,Tanjong Pagar,1.0,Total,10.0
Downtown Core,Tanjong Pagar,2.0,Total,10.0
Downtown Core,Tanjong Pagar,2.0,Females,10.0
Downtown Core,Tanjong Pagar,3.0,Total,10.0
Downtown Core,Tanjong Pagar,4.0,Total,10.0
Downtown Core,Tanjong Pagar,5.0,Total,10.0
Downtown Core,Tanjong Pagar,5.0,Females,10.0
Downtown Core,Tanjong Pagar,7.0,Total,10.0
Downtown Core,Tanjong Pagar,9.0,Total,10.0
Downtown Core,Tanjong Pagar,10.0,Total,10.0
Downtown Core,Tanjong Pagar,16.0,Total,10.0
Downtown Core,Tanjong Pagar,22.0,Total,10.0
Downtown Core,Tanjong Pagar,23.0,Total,10.0
Downtown Core,Tanjong Pagar,25.0,Total,10.0
Downtown Core,Tanjong Pagar,26.0,Total,10.0
Downtown Core,Tanjong Pagar,26.0,Females,10.0
Downtown Core,Tanjong Pagar,27.0,Total,10.0
Downtown Core,Tanjong Pagar,27.0,Males,10.0
Downtown Core,Tanjong Pagar,28.0,Total,20.0
Downtown Core,Tanjong Pagar,28.0,Males,10.0
Downtown Core,Tanjong Pagar,28.0,Females,10.0
Downtown Core,Tanjong Pagar,29.0,Total,10.0
Downtown Core,Tanjong Pagar,29.0,Females,10.0
Downtown Core,Tanjong Pagar,30.0,Total,30.0
Downtown Core,Tanjong Pagar,30.0,Males,10.0
Downtown Core,Tanjong Pagar,30.0,Females,20.0
Downtown Core,Tanjong Pagar,31.0,Total,30.0
Downtown Core,Tanjong Pagar,31.0,Males,10.0
Downtown Core,Tanjong Pagar,31.0,Females,20.0
Downtown Core,Tanjong Pagar,32.0,Total,30.0
Downtown Core,Tanjong Pagar,32.0,Males,10.0
Downtown Core,Tanjong Pagar,32.0,Females,20.0
Downtown Core,Tanjong Pagar,33.0,Total,20.0
Downtown Core,Tanjong Pagar,33.0,Males,10.0
Downtown Core,Tanjong Pagar,33.0,Females,10.0
Downtown Core,Tanjong Pagar,34.0,Total,30.0
Downtown Core,Tanjong Pagar,34.0,Males,20.0
Downtown Core,Tanjong Pagar,34.0,Females,10.0
Downtown Core,Tanjong Pagar,35.0,Total,30.0
Downtown Core,Tanjong Pagar,35.0,Males,10.0
Downtown Core,Tanjong Pagar,35.0,Females,20.0
Downtown Core,Tanjong Pagar,36.0,Total,30.0
Downtown Core,Tanjong Pagar,36.0,Males,20.0
Downtown Core,Tanjong Pagar,36.0,Females,10.0
Downtown Core,Tanjong Pagar,37.0,Total,30.0
Downtown Core,Tanjong Pagar,37.0,Males,10.0
Downtown Core,Tanjong Pagar,37.0,Females,20.0
Downtown Core,Tanjong Pagar,38.0,Total,20.0
Downtown Core,Tanjong Pagar,38.0,Males,10.0
Downtown Core,Tanjong Pagar,38.0,Females,10.0
Downtown Core,Tanjong Pagar,39.0,Total,30.0
Downtown Core,Tanjong Pagar,39.0,Males,20.0
Downtown Core,Tanjong Pagar,39.0,Females,10.0
Downtown Core,Tanjong Pagar,40.0,Total,30.0
Downtown Core,Tanjong Pagar,40.0,Males,10.0
Downtown Core,Tanjong Pagar,40.0,Females,20.0
Downtown Core,Tanjong Pagar,41.0,Total,30.0
Downtown Core,Tanjong Pagar,41.0,Males,10.0
Downtown Core,Tanjong Pagar,41.0,Females,10.0
Downtown Core,Tanjong Pagar,42.0,Total,30.0
Downtown Core,Tanjong Pagar,42.0,Males,20.0
Downtown Core,Tanjong Pagar,42.0,Females,10.0
Downtown Core,Tanjong Pagar,43.0,Total,30.0
Downtown Core,Tanjong Pagar,43.0,Males,20.0
Downtown Core,Tanjong Pagar,43.0,Females,10.0
Downtown Core,Tanjong Pagar,44.0,Total,20.0
Downtown Core,Tanjong Pagar,44.0,Males,10.0
Downtown Core,Tanjong Pagar,44.0,Females,10.0
Downtown Core,Tanjong Pagar,45.0,Total,30.0
Downtown Core,Tanjong Pagar,45.0,Males,10.0
Downtown Core,Tanjong Pagar,45.0,Females,10.0
Downtown Core,Tanjong Pagar,46.0,Total,20.0
Downtown Core,Tanjong Pagar,46.0,Males,10.0
Downtown Core,Tanjong Pagar,46.0,Females,10.0
Downtown Core,Tanjong Pagar,47.0,Total,20.0
Downtown Core,Tanjong Pagar,47.0,Males,10.0
Downtown Core,Tanjong Pagar,47.0,Females,10.0
Downtown Core,Tanjong Pagar,48.0,Total,10.0
Downtown Core,Tanjong Pagar,48.0,Males,10.0
Downtown Core,Tanjong Pagar,49.0,Total,20.0
Downtown Core,Tanjong Pagar,49.0,Males,10.0
Downtown Core,Tanjong Pagar,49.0,Females,10.0
Downtown Core,Tanjong Pagar,50.0,Total,20.0
Downtown Core,Tanjong Pagar,50.0,Males,10.0
Downtown Core,Tanjong Pagar,50.0,Females,10.0
Downtown Core,Tanjong Pagar,51.0,Total,20.0
Downtown Core,Tanjong Pagar,51.0,Females,10.0
Downtown Core,Tanjong Pagar,52.0,Total,20.0
Downtown Core,Tanjong Pagar,52.0,Males,10.0
Downtown Core,Tanjong Pagar,52.0,Females,10.0
Downtown Core,Tanjong Pagar,53.0,Total,20.0
Downtown Core,Tanjong Pagar,53.0,Males,10.0
Downtown Core,Tanjong Pagar,53.0,Females,10.0
Downtown Core,Tanjong Pagar,54.0,Total,10.0
Downtown Core,Tanjong Pagar,54.0,Males,10.0
Downtown Core,Tanjong Pagar,55.0,Total,10.0
Downtown Core,Tanjong Pagar,55.0,Males,10.0
Downtown Core,Tanjong Pagar,55.0,Females,10.0
Downtown Core,Tanjong Pagar,56.0,Total,10.0
Downtown Core,Tanjong Pagar,56.0,Males,10.0
Downtown Core,Tanjong Pagar,56.0,Females,10.0
Downtown Core,Tanjong Pagar,57.0,Total,10.0
Downtown Core,Tanjong Pagar,57.0,Females,10.0
Downtown Core,Tanjong Pagar,58.0,Total,10.0
Downtown Core,Tanjong Pagar,58.0,Males,10.0
Downtown Core,Tanjong Pagar,59.0,Total,10.0
Downtown Core,Tanjong Pagar,59.0,Males,10.0
Downtown Core,Tanjong Pagar,59.0,Females,10.0
Downtown Core,Tanjong Pagar,60.0,Total,10.0
Downtown Core,Tanjong Pagar,61.0,Total,10.0
Downtown Core,Tanjong Pagar,62.0,Total,10.0
Downtown Core,Tanjong Pagar,62.0,Females,10.0
Downtown Core,Tanjong Pagar,63.0,Total,10.0
Downtown Core,Tanjong Pagar,64.0,Total,10.0
Downtown Core,Tanjong Pagar,64.0,Males,10.0
Downtown Core,Tanjong Pagar,65.0,Total,10.0
Downtown Core,Tanjong Pagar,65.0,Males,10.0
Downtown Core,Tanjong Pagar,66.0,Total,10.0
Downtown Core,Tanjong Pagar,67.0,Total,10.0
Downtown Core,Tanjong Pagar,67.0,Males,10.0
Downtown Core,Tanjong Pagar,68.0,Total,10.0
Downtown Core,Tanjong Pagar,71.0,Total,10.0
Downtown Core,Tanjong Pagar,73.0,Total,10.0
Downtown Core,Tanjong Pagar,74.0,Total,10.0
Downtown Core,Tanjong Pagar,76.0,Total,10.0
Geylang,Total,0.0,Total,870.0
Geylang,Total,0.0,Males,450.0
Geylang,Total,0.0,Females,430.0
Geylang,Total,1.0,Total,950.0
Geylang,Total,1.0,Males,490.0
Geylang,Total,1.0,Females,460.0
Geylang,Total,2.0,Total,930.0
Geylang,Total,2.0,Males,470.0
Geylang,Total,2.0,Females,460.0
Geylang,Total,3.0,Total,920.0
Geylang,Total,3.0,Males,460.0
Geylang,Total,3.0,Females,460.0
Geylang,Total,4.0,Total,970.0
Geylang,Total,4.0,Males,490.0
Geylang,Total,4.0,Females,480.0
Geylang,Total,5.0,Total,930.0
Geylang,Total,5.0,Males,460.0
Geylang,Total,5.0,Females,470.0
Geylang,Total,6.0,Total,920.0
Geylang,Total,6.0,Males,490.0
Geylang,Total,6.0,Females,430.0
Geylang,Total,7.0,Total,950.0
Geylang,Total,7.0,Males,480.0
Geylang,Total,7.0,Females,480.0
Geylang,Total,8.0,Total,900.0
Geylang,Total,8.0,Males,450.0
Geylang,Total,8.0,Females,450.0
Geylang,Total,9.0,Total,950.0
Geylang,Total,9.0,Males,450.0
Geylang,Total,9.0,Females,490.0
Geylang,Total,10.0,Total,920.0
Geylang,Total,10.0,Males,470.0
Geylang,Total,10.0,Females,450.0
Geylang,Total,11.0,Total,910.0
